id	lang_family	lang_branch	lang	idiom	type	core	feature	pred_infl	map_spatial	value1	value2	value	value_as_in_source	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment
31	ND	Avar-Andic	Karata	Karata	idiom	yes	standard of comparison	no	spatial	elative	super	superelative	elative	magomedbekova1971; magomedovaxalidova2001	90; 455		Chiara Naccarato	-a-gal		jacːow-a-gal wacːi xoho-w ida	sister.obl-sup-el brother good-m cop	брат лучше сестры	the brother is better than the sister	magomedbekova1971	90	
32	ND	Avar-Andic	Karata	Karata	idiom	no	standard of comparison	no	spatial	elative	cont	contelative		pasquereau2010	37, 41, 60		Chiara Naccarato	'-č''o-gal'		'dija dãdesː herk''ãj idja di-č''o-gal '	I.dat sister_in_law older.f cop I.obl-cont-el	the wife of my brother-in-law is older than me	the wife of my brother-in-law is older than me	pasquereau2010	37	
33	ND	Avar-Andic	Karata	Tukita	village	no	standard of comparison	no	spatial	essive	cont	contessive		daniel p.c.	NA		Chiara Naccarato	'-č'''	NA	'islam israpili-č'' herc''u-w egu'	Islam Israpil.obl-cont tall-m cop	NA	Islam is taller than Israpil	daniel p.c.	NA	no screenshot
34	ND	Avar-Andic	Karata	Anchix	village	no	standard of comparison	no	spatial	elative	cont	contelative		gadzhimagomedov2019	NA		Chiara Naccarato	'-č''-wal'		'dunal-lɬ-a ũšː-i-č''-wal ƛani lɬẽj gira'	world-obl-sup soil-obl-cont-el many water cop	в мире воды больше, чем суши	on the planet there is more water than soil	gadzhimagomedov2019	NA	
35	ND	Khinalug	Khinalug	Khinalug	village	yes	standard of comparison	no	dedicated	dedicated	NA	comparative		desheriev1959	25	-l:i elative	Chiara Naccarato	'-q''ilːi'		'ej c''wa ksanež-maʔ eci čχi c''wa-q''ilːi'	I.gen house good-cop dem big house-cmpr	мой дом лучше этого большого дома	my house is better than this big house	desheriev1959	25	
36	ND	Tsezic	Khwarshi	Kwantlada	village	yes	standard of comparison	no	spatial	elative	super	superelative	superablative	khalilova2009	285	superessive (Daniel & Ganenkov 2009)	Chiara Naccarato	'-λ''a-zi'		'Musa Aħmad-λ''a-zi ø-uxala goli'	Musa Akhmed-sup-el m-tall cop	Musa is taller than Axmed	Musa is taller than Axmed	khalilova2009	286	
37	ND	Lezgic	Kryz	Alik	village	yes	standard of comparison	no	spatial	elative	ad	adelative		authier2009	183		Chiara Naccarato	-v-ar		'lu utağ la''a-be-var an ghala-yu'	dem room other-npl-ad.el ptc good-cop.f	cette chambre était encore plus belle que les autres	this room is more beautiful than the others	authier2009	183	
38	Turkic	Kipchak	Kumyk	Standard Kumyk	idiom	yes	standard of comparison	no	spatial	elative	NA	ablative		gadzhiakhmedov2000; dmitriev1940	54; 70		Chiara Naccarato	-dan (-den)		ol men-den ullu, sen-den gičːi	he I-abl older you.sg-abl young	он старше меня, младше тебя	he is older than me, younger than you	gadzhiakhmedov2000	75	
39	ND	Lak	Lak	Standard Lak (Kumukh)	idiom	yes	standard of comparison	no	dedicated	dedicated	NA	comparative		zhirkov1955; kazenin2013	39; 281		Chiara Naccarato	-jar		'tani-jar wiχšala-sːa k''anu baq''ar'	dem-cmpr safe-attr place neg.cop 	более надежного места, чем это, нет	there is no safer place than this	kazenin2013	287	
40	ND	Lezgic	Lezgian	Standard Lezgian	idiom	yes	standard of comparison	no	spatial	elative	super	superelative		haspelmath1993	432		Chiara Naccarato	-l-aj		'za-z wun i dünja-di-l-aj para k''an-da'	I.obl-dat you.sg dem world-obl-sup-el much love-fut	I love you more than this world	I love you more than this world	haspelmath1993	432	
41	Turkic	Kipchak	Nogai	NA	NA	yes	standard of comparison	no	spatial	elative	NA	ablative		gadzhiakhmedov2000	75		Chiara Naccarato	-den		bu üy o üy-den biyik	dem house dem house-abl big	этот дом выше того дома	this house is taller than that house	gadzhiakhmedov2000	75	
42	ND	Lezgic	Rutul	Mukhad	idiom	yes	standard of comparison	no	dedicated	dedicated	NA	comparative		maxmudova2002; ibragimov2004	42; 60, 75		Chiara Naccarato	-qaʔ		wa-s rɨš-e-qaʔ duχ qɨga-r-a	you.sg-dat girl-obl-cmpr son love.ipfv.m-cvb-be	ты любишь сына больше, чем дочь	you love your son more than your daughter	maxmudova2002	42	
43	ND	Lezgic	Rutul	Mukhad	idiom	no	standard of comparison	no	spatial	elative	super	superelative	elative V	ibragimov2004	60, 75		Chiara Naccarato	-la		iz-dɨ did wɨ-dɨ did-ɨ-la hɨχ-dɨ jiʔi	I-attr father you.sg-attr father-obl-sup.el good-attr cop.m	мой отец лучше твоего отца	my father is better than your father	ibragimov2004	75	
44	ND	Lezgic	Rutul	Luchek	village	no	standard of comparison	no	spatial	elative	super	superelative	superablative	alekseev1994	247		Chiara Naccarato	-lɨ		ha-d ǯu-dɨ šu-lɨ χuliχi r-iʔi	she-attr refl.m.obl-attr brother-sup.el fat f-cop	she is fatter than her brother	she is fatter than her brother	alekseev1994	247	
45	ND	Lezgic	Tabasaran	Tabasaran	idiom	yes	standard of comparison	no	dedicated	dedicated	NA	comparative		alekseevshixalieva2003; xanmagomedovshalbuzov2001	52; 425	-an elative	Chiara Naccarato	'-t''an'		'čwe či-t''an bic''i-r wu'	brother sister-cmpr younger-f cop	брат моложе сестры	the brother is younger than the sister	xanmagomedovshalbuzov2001	425	
46	ND	Lezgic	Tabasaran	Northern Tabasaran	idiom	no	standard of comparison	no	dedicated	dedicated	NA	comparative		magometov1965	158	-an elative	Chiara Naccarato	'-t''an(a)'		'hatmu daftːar-t''ana '	that book-cmpr	чем та книга	than that book	magometov1965	158	
47	ND	Lezgic	Tabasaran	Southern Tabasaran	idiom	no	standard of comparison	no	dedicated	dedicated	NA	comparative		magometov1965	158	-an elative	Chiara Naccarato	'-č''an / -dakan'		hatmu kitab-ar-dakan 	that book-pl-cmpr	чем те книги	than those books	magometov1966	158	
48	IE	Iranian	Tat	Judeo Tat	idiom	yes	standard of comparison	yes	spatial	elative	NA	ablative		authier2012	75, 76	ablative preposition	Chiara Naccarato	ez		me ez tü ziyodte ʕämeldan vediromo-r-um	I abl you.sg more wily come_out-aor-1	je me suis avéré plus malin que toi	I turned out to be smarter than you	authier2012	76	
49	ND	Avar-Andic	Tindi	Tindi	idiom	yes	standard of comparison	no	spatial	essive	cont	contessive	'essive -č'''	magomedova2012; magomedova2003	101; 557		Chiara Naccarato	'-č''i'		'wacːi k*''e-ja rehã-ɬːiː muk''u-w ija jacːu-č''i'	brother two-num year-nm.obl.erg young-m cop sister.obl-cont	брат на два года моложе сестры	the brother is two years younger than the sister	magomedova2012	79	
50	ND	Lezgic	Tsakhur	Mishlesh	village	yes	standard of comparison	no	spatial	elative	super	superelative		sosenskaja1999	561		Chiara Naccarato	-l-e		'fāt''imat zuhra-j-l-e jug-ra ješemiš-ēx-e wo-r'	Fatima Zuhra-obl-sup-el good-adv.f live-become.f-ipf cop-f	Фатима живет лучше, чем Зухра	Fatima lives better than Zuhra	sosenskaja1999	561	
51	ND	Tsezic	Tsez	Kidero	village	yes	standard of comparison	no	spatial	elative	super	superelative	elative I	bokarev1959	195		Chiara Naccarato	'-ƛ''-aj'		'esnaza-ƛ''-aj žo eže'	brothers.obl-sup-el he tall	он больше (выше), чем братья	he is taller than his brothers	bokarev1959	195	
52	ND	Lezgic	Udi	Nidzh	village	yes	standard of comparison	no	spatial	elative	NA	ablative		ganenkov2008	42		Chiara Naccarato	-χun		bitüm boIqːal vuj hazar-aχun gele-ne	all population nine thousand-abl a_lot-3sg	всего количество (удин) больше девяти тысяч	the total number of Udi people is more than 9 thousands	ganenkov2008	43	
